# Known NID to name pairs.
#
# Harvested from the resolution logs of an open-source emulator, which prints the name it
# matched for every NID a module imports. Nothing here is secret or derived from anything
# that is: the names are already in this program's census, and the NIDs are computable
# from them with `obscene-tool nid`.
#
# It is kept because it is a *test set*. A candidate generator that cannot reproduce names
# already known is not ready to be believed about unknown ones, and this is what measures
# that:
#
#   obscene-tool crack --nids <targets> --words <candidates> --known data/nid-corpus.txt
#
# The header of that command's output reports how many of these it reproduced.
#
# It also verifies the hash chain against an independent implementation: every pair here
# was produced by somebody else's code and agrees with ours.
#
# Suffix: 518D64A635DED8C1E6B039B1C3E55230. Pairs made with a different one do not belong
# in this file and are not comparable.
#
+AFvOEXrKJk sceGnmSetEmbeddedVsShader
JWBr5N8zyNE isdigit
JaRMy+QcpeU scePthreadAttrGetdetachstate
JfEPXVxhFqA sceAudioOutInit
JoBqSQt1yyA sceSystemServiceLoadExec
KXltnCwEJHQ sceGnmSetCsShader
KdP-nULpuGw fgets
KqYTqtSfGos islower
L-Q3LEjIbgA sceKernelMapDirectMemory
L1SBTkC+Cvw abort
Ls4tzzhimqQ strcat
LwG8g3niqwA sceKernelDlsym
LxcEU+ICu8U feof
MBuItvba6z8 sceKernelReleaseDirectMemory
MTxxrOCeSig sceVideoOutSetWindowModeMargins
MUjC4lbHrK4 fflush
MXRNWnosNlM sqrt
MpxhMh8QFro fwrite
Mt4QHHkxkOc sceVideoOutGetEventCount
Mv1zUObHvXI sceKernelGetSystemSwVersion
N5KDtkIjjJ4 sceVideoOutUnregisterBuffers
NUeBrN7hzf0 sceImeDialogInit
NVadfnzQhHQ exp
NcaWUxfMNIQ sceKernelMapNamedDirectMemory
NesIgTmfF0Q bsearch
Nlev7Lg8k3A sceNetInit
OXXX4mUk3uk sceNetConnect
OXmauLdQ8kY atan
Ou3iL1abvng __stack_chk_fail
Ovb2dSJOAuE strcmp
Ox9i0c7L5w0 scePthreadRwlockRdlock
PGhQHd-dzv8 sceKernelMmap
PZku4ZrXJqg sceKernelCancelEventFlag
PqF+kHW-2WQ tolower
PrdHuuDekhY scePthreadKeyDelete
Ptlts326pds sceAudioOutGetLastOutputTime
Q+xU11-h0xQ sqrtf
Q2V+iqvjgC0 vsnprintf
Q4qBuN-c0ZM sceNetSocket
Q4rRL34CEeE sinf
QBi7HCK03hw sceKernelClockGettime
QKd0qM58Qes sceKernelStopUnloadModule
QMFyLoqNxIg setvbuf
QOQtbeDqsT4 sceAudioOutOutput
QZP6I9ZZxpE clock
Qazy8LmXTvw ftell
QrZZdJ8XsX0 fputs
QvsZxomvUHs sceKernelNanosleep
QxmSHBCuKTk strtoul
R1Jvn8bSCW8 sceKernelDeleteSema
R5hemoKKID8 sceAudioOutGetSystemState
RQXLbdT2lc4 logf
RR4novUEENY scePadSetLightBar
S1GkePI17zQ sceSaveDataDelete
SF47kB2MNTo sceNetEpollCreate
