# Export vaddrs, resolved to names.
#
# known_by = "measured"
# source = "12.40 libkernel_sys.sprx"
#
# Format: <name> <vaddr_hex>. Lines starting with '#' and blank lines are ignored.
#   vaddr  the export's offset within the module, measured from the file. A loader
#          reaches the function by adding it to the module's load base.
#   name   resolved from obscene's mined corpus (data/mined-names.txt) by the NID the
#          export table stores. 1644 of 1867 resolved; the rest keep their
#          encoded NID (hash#lib#mod), the honest statement that the name is not yet
#          known.
#
# Regenerate: obscene-tool vaddrs <module> --source "12.40 libkernel_sys.sprx"
#
ksem_wait 0x1b10
ktimer_create 0x1270
ktimer_delete 0x1290
ktimer_getoverrun 0x12f0
ktimer_gettime 0x12d0
ktimer_settime 0x12b0
listen 0xcd0
listen 0xcd0
lseek 0x135e0
lseek 0x135e0
lstat 0x10b0
lstat 0x10b0
madvise 0xa10
madvise 0xa10
mdbg_service 0x2a70
mincore 0xa30
mkdir 0xf50
mkdir 0xf50
mlock 0x1190
mlock 0x1190
mlockall 0x1630
mlockall 0x1630
mmap 0x135f0
mmap 0x135f0
mmap 0x135f0
mmap 0x135f0
tGtH2GTWbyE#I#A 0x3910
mprotect 0x9f0
mprotect 0x9f0
msync 0xec90
msync 0xec90
munlock 0x11b0
munlock 0x11b0
munlockall 0x1650
munlockall 0x1650
munmap 0x9d0
munmap 0x9d0
nanosleep 0xece0
nanosleep 0xece0
ntohl 0x133d0
ntohl 0x133d0
ntohs 0x133e0
ntohs 0x133e0
open 0xed30
open 0xed30
openintr 0x37f0
pause 0xce70
physhm_open 0x2df0
physhm_unlink 0x2e10
pipe 0x120
pipe 0x120
poll 0xefb0
poll 0xefb0
poll 0xefb0
posix_pread 0x13600
posix_pread 0x13600
preadv 0x1490
preadv 0x1490
profil 0x830
pselect 0xf000
pthread_atfork 0x89a0
posix_pthread_attr_destroy 0x48a0
posix_pthread_attr_destroy 0x48a0
posix_pthread_attr_get_np 0x48f0
posix_pthread_attr_get_np 0x48f0
posix_pthread_attr_getaffinity_np 0x5090
posix_pthread_attr_getdetachstate 0x4af0
posix_pthread_attr_getdetachstate 0x4af0
posix_pthread_attr_getguardsize 0x4b20
posix_pthread_attr_getguardsize 0x4b20
posix_pthread_attr_getinheritsched 0x4b50
posix_pthread_attr_getinheritsched 0x4b50
posix_pthread_attr_getschedparam 0x4b80
posix_pthread_attr_getschedparam 0x4b80
posix_pthread_attr_getschedpolicy 0x4bb0
posix_pthread_attr_getschedpolicy 0x4bb0
posix_pthread_attr_getscope 0x4be0
posix_pthread_attr_getscope 0x4be0
pthread_attr_getsolosched_np 0x51b0
pthread_attr_getsolosched_np 0x51b0
posix_pthread_attr_getstack 0x4c10
posix_pthread_attr_getstack 0x4c10
posix_pthread_attr_getstackaddr 0x4c40
posix_pthread_attr_getstackaddr 0x4c40
posix_pthread_attr_getstacksize 0x4c70
posix_pthread_attr_getstacksize 0x4c70
posix_pthread_attr_init 0x4ca0
posix_pthread_attr_init 0x4ca0
posix_pthread_attr_setaffinity_np 0x4f30
posix_pthread_attr_setcreatesuspend_np 0x4d00
posix_pthread_attr_setdetachstate 0x4d20
posix_pthread_attr_setdetachstate 0x4d20
posix_pthread_attr_setguardsize 0x4d60
posix_pthread_attr_setguardsize 0x4d60
posix_pthread_attr_setinheritsched 0x4d80
posix_pthread_attr_setinheritsched 0x4d80
nsq826qQ2EI#I#A 0x4e40
posix_pthread_attr_setschedparam 0x4db0
posix_pthread_attr_setschedparam 0x4db0
posix_pthread_attr_setschedpolicy 0x4e00
posix_pthread_attr_setschedpolicy 0x4e00
posix_pthread_attr_setscope 0x4e60
posix_pthread_attr_setscope 0x4e60
pthread_attr_setsolosched_np 0x51e0
pthread_attr_setsolosched_np 0x51e0
posix_pthread_attr_setstack 0x4ea0
posix_pthread_attr_setstack 0x4ea0
posix_pthread_attr_setstackaddr 0x4ed0
posix_pthread_attr_setstackaddr 0x4ed0
posix_pthread_attr_setstacksize 0x4f00
posix_pthread_attr_setstacksize 0x4f00
pthread_barrier_destroy 0x5280
pthread_barrier_destroy 0x5280
pthread_barrier_init 0x53c0
pthread_barrier_init 0x53c0
pthread_barrier_setname_np 0x9690
pthread_barrier_wait 0x5590
pthread_barrier_wait 0x5590
pthread_barrierattr_destroy 0x5890
